Company,Category,Subcategory,Region,Sales_Channel,Year,Revenue_USD_Million,Market_Share_%,Growth_%,Urban_Rural
Reliance Consumer,Food & Beverages,Noodles,North,Offline,2020,3732.5,7.68,8.74,Rural
ITC,Food & Beverages,Insecticides,East,Offline,2021,5880.12,11.64,5.39,Rural
Colgate-Palmolive,Home Care,Bakery,West,Offline,2024,2294.92,14.24,13.35,Urban
Godrej Consumer,Personal Care,Oral Care,South,Online,2020,4878.36,18.81,3.83,Rural
Marico,Home Care,Ayurvedic Products,South,Offline,2022,4102.38,6.23,13.1,Urban
Dabur,Health Care,Noodles,South,Offline,2024,4119.48,10.07,13.73,Urban
Godrej Consumer,Home Care,Oral Care,North,Online,2025,4960.2,12.57,7.07,Urban
Reliance Consumer,Food & Beverages,Ayurvedic Products,North,Offline,2023,4678.86,4.6,7.54,Urban
Marico,Personal Care,Noodles,West,Online,2025,4006.42,12.27,14.18,Rural
Reliance Consumer,Food & Beverages,Biscuits,West,Offline,2021,1531.83,3.14,13.86,Rural
Colgate-Palmolive,Food & Beverages,Soap,North,Offline,2023,1735.91,17.62,8.25,Urban
Britannia,Home Care,Oral Care,North,Online,2022,4447.98,9.41,8.74,Urban
Reliance Consumer,Personal Care,Insecticides,South,Online,2022,2861.27,3.87,13.12,Rural
Britannia,Food & Beverages,Bakery,West,Online,2020,1968.26,15.09,6.61,Urban
Colgate-Palmolive,Food & Beverages,Hair Oil,South,Online,2021,4101.67,6.14,10.52,Rural
Nestle India,Home Care,Soap,East,Offline,2022,3723.16,1.17,9.42,Rural
Nestle India,Home Care,Ayurvedic Products,North,Online,2023,1707.23,12.71,3.24,Rural
Dabur,Food & Beverages,Biscuits,North,Online,2020,4319.59,19.59,3.41,Rural
Marico,Personal Care,Noodles,South,Online,2024,2206.48,14.88,13.1,Rural
Colgate-Palmolive,Home Care,Insecticides,West,Online,2022,1806.59,5.78,14.77,Urban
Dabur,Health Care,Shampoo,South,Offline,2025,5457.01,16.13,14.06,Rural
Nestle India,Personal Care,Beverages,West,Online,2023,4141.66,13.99,6.66,Rural
Hindustan Unilever,Food & Beverages,Shampoo,South,Online,2021,5561.07,7.47,3.97,Rural
Dabur,Home Care,Soap,West,Offline,2023,2884.5,15.81,8.47,Urban
Marico,Home Care,Soap,South,Online,2024,3878.1,8.39,4.99,Rural
Nestle India,Personal Care,Soap,South,Online,2021,2454.2,1.45,13.49,Urban
Marico,Health Care,Beverages,West,Online,2021,1114.15,18.86,8.97,Urban
Dabur,Personal Care,Noodles,East,Online,2022,2593.55,12.07,7.58,Urban
Britannia,Health Care,Soap,East,Offline,2023,2201.63,7.22,10.37,Rural
ITC,Food & Beverages,Beverages,East,Offline,2020,1361.25,13.61,11.73,Rural
Marico,Home Care,Beverages,East,Online,2025,2490.08,11.57,9.36,Rural
Patanjali,Food & Beverages,Ayurvedic Products,West,Online,2021,5546.03,17.77,13.71,Rural
Nestle India,Health Care,Biscuits,West,Online,2024,4030.27,18.42,12.99,Rural
Colgate-Palmolive,Health Care,Noodles,South,Online,2021,5744.29,8.87,14.54,Urban
Marico,Food & Beverages,Bakery,West,Offline,2024,5910.84,4.62,4.46,Rural
Marico,Health Care,Insecticides,West,Online,2023,4152.44,5.05,11.39,Urban
Reliance Consumer,Home Care,Bakery,North,Online,2022,1746.4,17.96,3.12,Rural
Hindustan Unilever,Food & Beverages,Oral Care,West,Offline,2024,3721.23,18.17,11.89,Urban
ITC,Home Care,Hair Oil,North,Offline,2023,2524.71,19.29,6.67,Rural
Marico,Personal Care,Bakery,North,Offline,2020,5041.14,3.73,6.27,Rural
Hindustan Unilever,Personal Care,Oral Care,East,Offline,2022,3115.62,13.98,5.82,Urban
Dabur,Health Care,Oral Care,West,Offline,2025,5725.5,16.58,13.85,Urban
Nestle India,Personal Care,Hair Oil,West,Online,2020,5388.53,2.45,5.68,Urban
Patanjali,Health Care,Shampoo,North,Online,2021,4767.74,11.47,14.63,Urban
Marico,Food & Beverages,Biscuits,South,Offline,2022,4676.11,17.89,9.21,Urban
Nestle India,Personal Care,Biscuits,East,Online,2025,4906.07,7.83,6.88,Rural
Nestle India,Food & Beverages,Noodles,North,Offline,2024,1326.41,13.55,12.09,Rural
Dabur,Personal Care,Hair Oil,West,Online,2025,3457.62,5.69,4.24,Rural
Reliance Consumer,Food & Beverages,Biscuits,North,Offline,2025,5069.22,3.13,8.15,Urban
Godrej Consumer,Home Care,Bakery,North,Online,2020,1962.55,19.11,9.45,Urban
Hindustan Unilever,Health Care,Insecticides,South,Offline,2021,3933.95,14.77,10.46,Rural
Nestle India,Home Care,Insecticides,West,Offline,2022,3106.93,16.63,8.77,Rural
Nestle India,Home Care,Soap,East,Offline,2022,3593.77,6.53,10.59,Rural
Reliance Consumer,Health Care,Hair Oil,South,Offline,2021,1316.26,15.28,11.93,Rural
ITC,Personal Care,Insecticides,South,Online,2020,4557.96,6.22,11.18,Rural
ITC,Home Care,Bakery,South,Online,2021,3159.22,13.59,11.9,Urban
Dabur,Food & Beverages,Insecticides,East,Offline,2022,1122.44,7.67,10.34,Urban
Godrej Consumer,Home Care,Soap,South,Offline,2021,3707.03,12.4,8.94,Rural
Dabur,Health Care,Bakery,West,Offline,2023,770.71,2.04,12.0,Urban
Patanjali,Health Care,Hair Oil,South,Offline,2024,5063.64,1.67,3.14,Rural
Dabur,Personal Care,Insecticides,North,Offline,2023,1897.24,15.59,7.77,Rural
Colgate-Palmolive,Food & Beverages,Ayurvedic Products,South,Offline,2022,2220.99,13.92,6.5,Rural
Marico,Home Care,Bakery,South,Offline,2024,4197.54,18.57,5.3,Urban
Marico,Health Care,Oral Care,West,Offline,2025,2356.58,4.07,6.51,Rural
Dabur,Food & Beverages,Noodles,North,Online,2023,3448.86,11.72,12.34,Rural
Patanjali,Home Care,Soap,North,Online,2024,1970.9,1.21,6.05,Urban
Hindustan Unilever,Food & Beverages,Shampoo,East,Offline,2021,3337.52,19.93,11.54,Rural
Nestle India,Food & Beverages,Bakery,North,Offline,2022,5246.93,19.54,8.08,Urban
Nestle India,Food & Beverages,Ayurvedic Products,North,Online,2024,4413.19,16.3,8.48,Urban
Hindustan Unilever,Food & Beverages,Ayurvedic Products,East,Offline,2025,2229.28,17.05,5.03,Urban
Colgate-Palmolive,Personal Care,Soap,South,Online,2024,1800.82,7.23,12.32,Urban
Godrej Consumer,Personal Care,Ayurvedic Products,South,Online,2024,5976.99,5.81,11.11,Rural
Colgate-Palmolive,Health Care,Bakery,West,Offline,2024,1569.99,9.73,6.12,Urban
Patanjali,Health Care,Soap,East,Online,2023,4428.85,19.77,11.36,Rural
Britannia,Home Care,Biscuits,West,Offline,2024,4124.21,15.91,4.15,Urban
Dabur,Health Care,Bakery,East,Offline,2020,952.7,1.35,5.39,Urban
Patanjali,Food & Beverages,Insecticides,North,Online,2024,4522.02,17.07,5.1,Rural
Britannia,Personal Care,Oral Care,West,Online,2021,4266.46,6.11,3.32,Urban
ITC,Home Care,Shampoo,East,Online,2020,2672.56,19.79,3.17,Urban
Patanjali,Health Care,Ayurvedic Products,South,Offline,2020,5430.56,9.66,13.78,Urban
Colgate-Palmolive,Health Care,Oral Care,West,Offline,2021,783.75,19.7,8.85,Rural
ITC,Personal Care,Hair Oil,North,Offline,2025,2270.06,2.68,10.52,Urban
ITC,Personal Care,Soap,South,Online,2025,2263.11,8.08,5.27,Rural
Godrej Consumer,Personal Care,Oral Care,South,Online,2020,5355.54,17.88,7.78,Urban
ITC,Home Care,Ayurvedic Products,North,Offline,2024,5476.84,17.3,11.79,Urban
Britannia,Home Care,Shampoo,West,Offline,2020,5954.58,8.29,10.63,Urban
Patanjali,Personal Care,Beverages,North,Offline,2023,3350.2,17.88,13.33,Rural
Marico,Health Care,Insecticides,South,Offline,2020,1095.64,12.27,4.81,Rural
Patanjali,Personal Care,Hair Oil,West,Online,2022,4768.39,3.3,10.44,Urban
Reliance Consumer,Health Care,Insecticides,South,Offline,2022,3767.63,5.16,5.62,Rural
Nestle India,Food & Beverages,Shampoo,North,Online,2020,592.64,18.15,3.78,Rural
Hindustan Unilever,Home Care,Shampoo,East,Online,2021,3242.11,10.57,13.92,Rural
Nestle India,Health Care,Ayurvedic Products,West,Online,2020,802.54,19.97,8.78,Rural
Marico,Health Care,Soap,North,Offline,2025,5153.77,15.67,4.44,Urban
Godrej Consumer,Personal Care,Noodles,South,Offline,2023,3160.45,19.88,4.25,Rural
Patanjali,Food & Beverages,Insecticides,West,Online,2022,3466.99,4.4,14.58,Urban
Godrej Consumer,Health Care,Oral Care,South,Online,2023,4401.41,7.24,11.62,Urban
Nestle India,Home Care,Oral Care,East,Online,2020,5067.02,6.57,13.99,Urban
Colgate-Palmolive,Personal Care,Shampoo,West,Offline,2021,2414.54,16.68,5.58,Urban
Dabur,Personal Care,Bakery,East,Offline,2023,664.53,18.94,9.05,Rural
Patanjali,Health Care,Oral Care,West,Offline,2022,4385.85,16.3,12.48,Urban
Patanjali,Food & Beverages,Shampoo,West,Online,2023,1078.49,14.27,3.57,Rural
Marico,Food & Beverages,Biscuits,East,Online,2020,1222.02,11.36,9.78,Urban
Patanjali,Personal Care,Soap,North,Online,2023,1521.29,12.55,8.92,Rural
Colgate-Palmolive,Personal Care,Soap,West,Offline,2021,786.0,7.99,5.15,Urban
Marico,Food & Beverages,Oral Care,North,Online,2022,3567.04,4.85,13.51,Rural
Marico,Health Care,Bakery,North,Online,2021,5170.46,15.97,8.53,Urban
Hindustan Unilever,Health Care,Hair Oil,West,Online,2022,3363.64,16.96,3.3,Rural
Hindustan Unilever,Food & Beverages,Biscuits,East,Online,2022,4156.0,14.82,12.8,Rural
Britannia,Personal Care,Soap,North,Offline,2024,4440.25,3.22,3.04,Urban
Reliance Consumer,Health Care,Insecticides,South,Offline,2025,2027.53,13.45,9.91,Urban
Marico,Health Care,Bakery,East,Offline,2020,4888.51,12.26,6.71,Rural
Patanjali,Health Care,Oral Care,North,Online,2022,4071.57,12.48,9.01,Urban
Hindustan Unilever,Personal Care,Hair Oil,West,Online,2021,3019.61,18.34,14.1,Rural
ITC,Food & Beverages,Beverages,South,Offline,2025,3505.83,13.5,13.77,Urban
Colgate-Palmolive,Home Care,Hair Oil,East,Offline,2025,5236.57,9.17,6.01,Rural
Hindustan Unilever,Personal Care,Soap,East,Offline,2020,2264.38,12.64,4.06,Rural
ITC,Home Care,Noodles,East,Online,2025,3123.82,12.92,13.4,Rural
Godrej Consumer,Food & Beverages,Biscuits,South,Online,2024,4440.64,3.25,9.53,Urban
Patanjali,Personal Care,Soap,North,Offline,2023,5159.48,12.84,12.88,Rural
Reliance Consumer,Food & Beverages,Noodles,North,Online,2024,3552.87,4.73,8.57,Rural
Hindustan Unilever,Health Care,Noodles,South,Offline,2023,1030.66,3.28,12.76,Rural
Marico,Food & Beverages,Hair Oil,East,Offline,2022,4981.96,6.1,14.64,Rural
Godrej Consumer,Home Care,Ayurvedic Products,South,Offline,2024,703.42,11.76,8.72,Urban
Godrej Consumer,Food & Beverages,Hair Oil,North,Offline,2023,2500.41,14.79,9.37,Urban
Reliance Consumer,Home Care,Shampoo,South,Offline,2024,933.62,7.7,14.95,Rural
Nestle India,Home Care,Hair Oil,West,Online,2020,3519.65,18.45,6.22,Rural
ITC,Personal Care,Biscuits,East,Online,2021,4090.54,19.41,13.31,Rural
Reliance Consumer,Health Care,Noodles,East,Offline,2021,4788.6,17.24,12.35,Urban
Hindustan Unilever,Personal Care,Biscuits,North,Offline,2020,4310.59,19.48,10.0,Urban
Hindustan Unilever,Food & Beverages,Biscuits,West,Online,2022,1343.68,11.53,3.51,Rural
Britannia,Personal Care,Hair Oil,East,Offline,2020,5394.77,17.04,11.0,Urban
Dabur,Personal Care,Ayurvedic Products,East,Online,2024,3487.5,6.07,6.25,Urban
Marico,Health Care,Hair Oil,South,Online,2021,3581.35,13.3,12.65,Rural
Dabur,Personal Care,Oral Care,East,Online,2021,5167.42,5.59,10.81,Urban
Patanjali,Home Care,Hair Oil,North,Online,2023,5131.04,7.62,7.61,Rural
Dabur,Home Care,Noodles,East,Online,2022,2832.74,2.09,8.21,Rural
Colgate-Palmolive,Health Care,Noodles,North,Offline,2024,5023.8,16.92,9.62,Urban
Marico,Food & Beverages,Hair Oil,West,Online,2020,2791.51,4.9,6.64,Rural
Colgate-Palmolive,Personal Care,Soap,East,Online,2025,2351.83,3.19,11.83,Rural
Colgate-Palmolive,Health Care,Hair Oil,South,Offline,2025,2607.78,15.26,3.97,Urban
Nestle India,Personal Care,Bakery,North,Offline,2023,663.62,2.2,12.55,Rural
Colgate-Palmolive,Personal Care,Bakery,West,Online,2020,5229.66,19.98,7.16,Rural
Marico,Health Care,Insecticides,East,Offline,2021,4292.3,2.27,14.98,Urban
ITC,Health Care,Beverages,South,Offline,2022,4194.59,2.93,7.5,Urban
Godrej Consumer,Personal Care,Soap,East,Offline,2025,5727.87,8.62,11.15,Rural
Reliance Consumer,Food & Beverages,Biscuits,North,Online,2022,2488.36,14.36,12.74,Urban
Patanjali,Health Care,Noodles,West,Offline,2023,1083.92,3.25,13.18,Urban
Colgate-Palmolive,Health Care,Noodles,West,Offline,2021,4041.12,8.29,7.47,Urban
Dabur,Home Care,Insecticides,South,Offline,2023,2635.56,3.03,8.29,Rural
Hindustan Unilever,Health Care,Beverages,North,Offline,2022,1435.23,15.76,12.14,Rural
Patanjali,Food & Beverages,Beverages,West,Offline,2020,4720.76,15.82,13.88,Rural
Patanjali,Home Care,Shampoo,West,Offline,2020,3852.55,13.0,5.09,Urban
Dabur,Food & Beverages,Hair Oil,West,Online,2024,4323.04,4.96,7.54,Urban
Britannia,Personal Care,Insecticides,East,Online,2023,3430.45,7.68,10.65,Urban
Godrej Consumer,Health Care,Biscuits,North,Online,2021,5014.97,2.09,5.74,Rural
Reliance Consumer,Home Care,Beverages,West,Online,2022,4838.83,12.39,6.69,Urban
Godrej Consumer,Personal Care,Insecticides,East,Online,2021,5231.09,10.26,6.7,Urban
Britannia,Home Care,Shampoo,South,Offline,2022,3786.26,6.09,3.71,Rural
Godrej Consumer,Home Care,Oral Care,North,Online,2024,964.16,15.27,7.88,Rural
Reliance Consumer,Personal Care,Bakery,East,Offline,2022,738.35,17.75,7.97,Urban
Colgate-Palmolive,Food & Beverages,Bakery,West,Online,2022,4395.06,12.54,14.06,Urban
Hindustan Unilever,Health Care,Oral Care,East,Offline,2021,5760.19,10.18,4.22,Rural
Reliance Consumer,Food & Beverages,Oral Care,North,Offline,2024,1547.88,13.21,11.01,Urban
Dabur,Home Care,Beverages,West,Offline,2022,4330.28,4.09,5.94,Rural
Dabur,Personal Care,Noodles,East,Offline,2021,2271.39,1.49,6.94,Urban
ITC,Personal Care,Hair Oil,West,Online,2021,1991.26,10.42,5.31,Urban
Marico,Food & Beverages,Beverages,East,Offline,2021,2311.01,4.26,11.51,Rural
Marico,Food & Beverages,Shampoo,West,Offline,2025,728.47,17.32,14.18,Rural
Patanjali,Food & Beverages,Beverages,North,Online,2025,3922.58,4.69,14.55,Rural
Dabur,Food & Beverages,Hair Oil,East,Online,2025,3549.45,4.18,11.23,Urban
Dabur,Home Care,Noodles,North,Offline,2025,693.11,1.08,10.96,Rural
Marico,Personal Care,Beverages,West,Online,2022,2074.38,7.93,8.16,Urban
Colgate-Palmolive,Home Care,Hair Oil,South,Offline,2025,5349.16,17.12,11.74,Urban
Colgate-Palmolive,Food & Beverages,Bakery,West,Online,2020,3329.77,2.18,14.86,Urban
Reliance Consumer,Health Care,Biscuits,West,Offline,2021,5111.25,1.74,7.93,Urban
Nestle India,Health Care,Beverages,South,Online,2025,2639.93,12.08,14.59,Urban
ITC,Health Care,Insecticides,North,Offline,2024,2230.52,16.81,5.2,Urban
Britannia,Home Care,Bakery,East,Offline,2024,2885.79,6.65,6.12,Rural
Dabur,Health Care,Hair Oil,South,Offline,2020,3114.61,9.86,5.33,Urban
Patanjali,Food & Beverages,Shampoo,North,Offline,2021,4222.61,18.49,5.37,Rural
Reliance Consumer,Health Care,Beverages,North,Online,2023,700.71,14.89,12.21,Urban
Britannia,Food & Beverages,Soap,West,Online,2024,2689.16,14.01,8.15,Urban
ITC,Health Care,Biscuits,East,Offline,2025,5666.14,5.44,13.39,Urban
Godrej Consumer,Personal Care,Noodles,West,Online,2021,1295.48,1.63,8.41,Urban
Colgate-Palmolive,Food & Beverages,Biscuits,East,Online,2024,1703.51,19.91,12.41,Urban
Patanjali,Health Care,Noodles,East,Offline,2021,5727.84,13.67,3.02,Rural
Reliance Consumer,Health Care,Oral Care,West,Offline,2021,4087.68,11.18,3.03,Urban
Marico,Personal Care,Beverages,North,Online,2022,2597.02,11.7,6.76,Urban
Colgate-Palmolive,Health Care,Noodles,West,Online,2024,4967.81,14.3,11.74,Urban
Marico,Home Care,Hair Oil,West,Offline,2022,4561.97,8.37,14.68,Rural
Dabur,Personal Care,Ayurvedic Products,North,Online,2023,4343.81,9.03,3.38,Urban
Dabur,Home Care,Noodles,North,Offline,2025,4971.6,11.48,4.6,Urban
Reliance Consumer,Personal Care,Noodles,North,Offline,2024,1941.41,7.7,13.63,Urban
Patanjali,Personal Care,Shampoo,West,Online,2024,5745.66,9.43,7.68,Urban
Nestle India,Food & Beverages,Ayurvedic Products,East,Offline,2023,2006.19,12.92,3.69,Urban
Patanjali,Health Care,Soap,East,Offline,2022,795.7,13.52,13.39,Urban
Dabur,Food & Beverages,Shampoo,South,Online,2021,2880.84,8.01,11.49,Urban
Hindustan Unilever,Personal Care,Beverages,South,Online,2025,3326.3,8.12,10.34,Rural
Dabur,Food & Beverages,Soap,East,Offline,2022,4814.72,15.8,13.24,Rural
Britannia,Personal Care,Insecticides,West,Online,2024,5877.62,6.89,11.76,Rural
Nestle India,Food & Beverages,Insecticides,East,Offline,2020,5588.16,9.1,3.05,Urban
Colgate-Palmolive,Food & Beverages,Insecticides,South,Online,2020,5355.51,10.61,6.84,Urban
Dabur,Home Care,Soap,North,Offline,2025,3333.83,17.86,8.65,Urban
ITC,Food & Beverages,Insecticides,South,Offline,2022,1002.75,8.07,5.34,Urban
Britannia,Food & Beverages,Soap,West,Online,2025,2561.37,9.29,4.54,Rural
Colgate-Palmolive,Health Care,Bakery,South,Online,2025,2790.71,1.76,11.39,Rural
Reliance Consumer,Health Care,Oral Care,North,Online,2021,3509.11,7.4,3.89,Urban
Marico,Health Care,Bakery,West,Offline,2021,3246.1,13.51,6.25,Rural
Patanjali,Home Care,Shampoo,North,Online,2021,4944.68,9.82,3.72,Urban
Patanjali,Health Care,Hair Oil,North,Offline,2022,587.69,6.95,9.39,Urban
Patanjali,Health Care,Beverages,East,Offline,2021,3010.39,16.1,3.16,Rural
Reliance Consumer,Food & Beverages,Shampoo,North,Offline,2025,3528.57,19.97,10.18,Rural
Hindustan Unilever,Food & Beverages,Beverages,West,Offline,2025,5477.42,13.36,14.78,Rural
Godrej Consumer,Personal Care,Ayurvedic Products,East,Online,2023,1394.14,14.11,6.28,Urban
Godrej Consumer,Food & Beverages,Oral Care,East,Offline,2024,1376.42,12.48,5.73,Rural
Hindustan Unilever,Home Care,Insecticides,North,Offline,2021,569.75,13.45,13.74,Urban
Reliance Consumer,Health Care,Beverages,East,Online,2022,4928.98,4.35,9.69,Rural
Colgate-Palmolive,Food & Beverages,Beverages,West,Online,2020,2099.23,5.41,6.95,Urban
Marico,Food & Beverages,Ayurvedic Products,West,Online,2023,518.66,12.37,10.6,Rural
Dabur,Food & Beverages,Noodles,North,Online,2025,5183.05,14.35,8.87,Urban
Godrej Consumer,Food & Beverages,Ayurvedic Products,West,Offline,2024,1026.51,3.29,4.5,Urban
Dabur,Home Care,Bakery,West,Offline,2025,1759.94,17.73,7.72,Rural
Patanjali,Food & Beverages,Bakery,North,Offline,2021,5937.81,15.54,3.95,Rural
Hindustan Unilever,Food & Beverages,Beverages,West,Online,2022,4317.49,12.82,12.73,Rural
Hindustan Unilever,Food & Beverages,Oral Care,North,Online,2025,5219.43,11.44,5.57,Urban
Patanjali,Home Care,Bakery,East,Online,2023,5077.69,5.61,9.72,Rural
Reliance Consumer,Home Care,Oral Care,East,Online,2024,1346.9,2.5,6.72,Urban
Dabur,Health Care,Insecticides,North,Offline,2020,4745.61,9.46,3.57,Urban
Reliance Consumer,Health Care,Soap,North,Online,2025,4614.05,13.58,13.29,Urban
Colgate-Palmolive,Health Care,Biscuits,East,Online,2025,4284.56,6.02,14.42,Urban
Godrej Consumer,Health Care,Beverages,East,Offline,2020,1328.52,16.02,4.61,Rural
Hindustan Unilever,Health Care,Soap,South,Offline,2020,1018.39,5.07,5.59,Urban
Marico,Personal Care,Ayurvedic Products,West,Online,2024,4059.82,8.87,13.2,Rural
Godrej Consumer,Health Care,Biscuits,South,Online,2025,3135.76,16.45,11.88,Urban
Colgate-Palmolive,Home Care,Beverages,East,Offline,2023,4683.31,5.42,8.62,Urban
Colgate-Palmolive,Food & Beverages,Noodles,East,Offline,2023,730.06,4.55,5.47,Rural
Hindustan Unilever,Food & Beverages,Insecticides,East,Offline,2020,1135.07,9.57,6.64,Rural
Reliance Consumer,Home Care,Biscuits,South,Offline,2022,4617.09,3.99,7.28,Rural
Reliance Consumer,Food & Beverages,Noodles,West,Offline,2020,3934.3,10.46,8.57,Urban
Britannia,Home Care,Insecticides,North,Online,2021,1204.16,19.98,7.55,Urban
Dabur,Food & Beverages,Hair Oil,North,Offline,2021,3464.02,19.04,3.18,Rural
Nestle India,Home Care,Oral Care,North,Online,2024,4902.12,19.86,8.59,Urban
ITC,Personal Care,Insecticides,North,Offline,2021,2493.9,5.61,13.05,Urban
Godrej Consumer,Home Care,Shampoo,South,Online,2022,1733.24,12.74,5.96,Rural
Dabur,Food & Beverages,Bakery,South,Offline,2025,2587.64,9.0,3.47,Rural
ITC,Home Care,Noodles,South,Offline,2021,5947.65,8.25,6.43,Rural
Godrej Consumer,Health Care,Ayurvedic Products,West,Offline,2025,5653.77,2.63,9.31,Rural
Hindustan Unilever,Personal Care,Beverages,West,Offline,2022,3747.13,16.62,8.45,Rural
Hindustan Unilever,Personal Care,Biscuits,West,Offline,2023,1586.66,2.67,14.41,Rural
Marico,Health Care,Hair Oil,East,Online,2022,4523.8,10.49,10.26,Rural
Britannia,Food & Beverages,Bakery,South,Online,2022,3638.13,3.51,14.65,Rural
Patanjali,Home Care,Shampoo,East,Offline,2020,2111.56,9.79,7.97,Rural
Britannia,Personal Care,Bakery,North,Offline,2025,5237.34,13.43,10.54,Urban
ITC,Food & Beverages,Noodles,South,Online,2020,3165.75,2.0,6.23,Rural
Nestle India,Health Care,Bakery,South,Online,2024,1160.57,3.54,9.05,Rural
Patanjali,Home Care,Noodles,East,Online,2022,5270.02,3.54,13.15,Rural
ITC,Personal Care,Hair Oil,West,Online,2022,4445.14,15.92,9.99,Rural
Patanjali,Personal Care,Noodles,East,Offline,2024,1785.81,2.81,9.01,Urban
ITC,Personal Care,Shampoo,South,Offline,2022,3769.17,8.9,6.06,Urban
ITC,Health Care,Noodles,West,Online,2020,3831.65,9.76,10.75,Rural
Reliance Consumer,Personal Care,Ayurvedic Products,East,Online,2020,3363.0,12.32,6.6,Urban
Marico,Health Care,Soap,North,Online,2020,4431.01,6.03,9.11,Urban
Hindustan Unilever,Food & Beverages,Oral Care,East,Online,2024,944.29,4.0,3.06,Rural
Hindustan Unilever,Health Care,Hair Oil,West,Offline,2023,2393.08,18.77,3.1,Rural
Nestle India,Personal Care,Beverages,West,Online,2025,3821.57,11.4,4.84,Rural
Reliance Consumer,Health Care,Insecticides,West,Offline,2021,4824.44,5.48,14.45,Urban
Britannia,Personal Care,Shampoo,North,Online,2021,3019.66,18.25,11.6,Rural
Dabur,Personal Care,Biscuits,South,Offline,2022,4513.63,5.53,7.65,Urban
Dabur,Personal Care,Oral Care,West,Online,2021,5589.54,4.31,10.59,Urban
Patanjali,Home Care,Biscuits,South,Online,2024,3040.59,3.04,4.89,Rural
Hindustan Unilever,Home Care,Beverages,West,Online,2022,1114.98,2.47,6.07,Urban
ITC,Home Care,Shampoo,West,Online,2021,2060.59,14.73,12.65,Rural
Dabur,Health Care,Insecticides,West,Online,2020,4030.56,4.38,12.45,Rural
Marico,Home Care,Insecticides,North,Offline,2025,2608.92,13.13,3.99,Rural
Reliance Consumer,Health Care,Insecticides,West,Offline,2022,1037.25,7.57,11.76,Rural
Godrej Consumer,Personal Care,Ayurvedic Products,West,Offline,2022,2052.47,14.76,6.67,Rural
Hindustan Unilever,Health Care,Soap,East,Online,2025,3774.89,12.12,3.07,Rural
Hindustan Unilever,Food & Beverages,Insecticides,South,Offline,2022,5798.72,3.71,4.95,Urban
Hindustan Unilever,Health Care,Insecticides,South,Online,2025,5563.28,3.01,8.8,Urban
Reliance Consumer,Health Care,Oral Care,North,Offline,2021,5050.57,14.88,3.31,Urban
Reliance Consumer,Health Care,Bakery,South,Online,2022,1125.34,9.72,11.14,Rural
Colgate-Palmolive,Health Care,Ayurvedic Products,East,Online,2024,1672.73,4.84,10.91,Urban
Dabur,Health Care,Insecticides,South,Offline,2021,838.29,11.27,4.53,Rural
Dabur,Personal Care,Ayurvedic Products,East,Offline,2020,1044.09,15.95,12.12,Urban
Colgate-Palmolive,Home Care,Beverages,South,Online,2020,4956.41,9.18,8.21,Rural
Britannia,Food & Beverages,Bakery,East,Offline,2024,3346.64,15.54,5.75,Rural
Hindustan Unilever,Health Care,Noodles,East,Online,2025,989.53,19.02,12.72,Urban
Dabur,Personal Care,Bakery,North,Online,2024,2775.05,5.48,10.72,Rural
Godrej Consumer,Health Care,Insecticides,North,Offline,2024,611.22,2.91,13.27,Rural
ITC,Personal Care,Soap,East,Offline,2020,5470.27,9.82,14.81,Urban
Nestle India,Personal Care,Ayurvedic Products,South,Offline,2022,2293.77,8.5,3.97,Urban
Hindustan Unilever,Health Care,Beverages,South,Offline,2021,1626.05,10.38,9.87,Urban
Hindustan Unilever,Personal Care,Ayurvedic Products,North,Online,2023,3710.31,1.47,14.8,Urban
ITC,Personal Care,Shampoo,South,Offline,2021,4493.32,14.67,11.11,Urban
Colgate-Palmolive,Home Care,Beverages,South,Online,2025,2732.35,7.49,13.69,Urban
Nestle India,Home Care,Biscuits,North,Offline,2022,1045.99,14.94,8.85,Rural
Britannia,Personal Care,Oral Care,West,Online,2024,1539.58,7.54,14.54,Urban
Nestle India,Health Care,Shampoo,West,Online,2023,5014.8,17.91,14.76,Rural
ITC,Home Care,Beverages,West,Offline,2023,4246.69,2.04,5.37,Rural
ITC,Home Care,Shampoo,West,Online,2025,3105.34,18.69,10.48,Rural
Reliance Consumer,Home Care,Beverages,North,Offline,2022,1558.98,7.84,5.07,Rural
Marico,Home Care,Insecticides,East,Offline,2025,2327.86,2.21,14.94,Urban
Godrej Consumer,Health Care,Biscuits,South,Online,2021,4797.26,17.5,12.87,Urban
Hindustan Unilever,Home Care,Hair Oil,North,Offline,2022,3962.77,9.6,13.21,Rural
Dabur,Personal Care,Insecticides,North,Online,2021,1457.51,1.26,4.85,Urban
Reliance Consumer,Food & Beverages,Insecticides,North,Online,2020,2174.61,17.35,12.12,Urban
ITC,Food & Beverages,Beverages,North,Online,2020,3698.14,17.33,9.3,Urban
Britannia,Food & Beverages,Shampoo,North,Offline,2024,1018.6,1.22,13.68,Rural
Britannia,Health Care,Ayurvedic Products,South,Offline,2024,4166.68,8.8,13.35,Rural
Reliance Consumer,Health Care,Ayurvedic Products,South,Online,2022,1861.17,4.75,4.11,Urban
Patanjali,Health Care,Beverages,South,Offline,2025,2223.42,9.92,9.67,Rural
ITC,Health Care,Oral Care,North,Online,2022,5267.67,10.6,11.29,Rural
Dabur,Home Care,Beverages,West,Offline,2020,1003.32,18.11,3.07,Rural
